antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support
painpoint=handle_comfort_positive,painpoint=sharpness_positive,0.021141649048625793,1.0,14.78125,0.021141649048625793,0.06765327695560254
has_aplus=1|painpoint=handle_comfort_positive,painpoint=sharpness_positive,0.021141649048625793,1.0,14.78125,0.021141649048625793,0.06765327695560254
painpoint=handle_comfort_positive|rating>=4.5,painpoint=sharpness_positive,0.0200845665961945,1.0,14.78125,0.0200845665961945,0.06765327695560254
painpoint=sharpness_positive,painpoint=handle_comfort_positive,0.021141649048625793,0.3125,14.78125,0.06765327695560254,0.021141649048625793
has_aplus=1|painpoint=sharpness_positive,painpoint=handle_comfort_positive,0.021141649048625793,0.3125,14.78125,0.06765327695560254,0.021141649048625793
knife_type=chef|painpoint=sharpness_positive,painpoint=overall_quality_positive,0.0200845665961945,0.3275862068965517,14.756978653530377,0.0613107822410148,0.022198731501057084
painpoint=sharpness_positive|rating>=4.5,painpoint=handle_comfort_positive,0.0200845665961945,0.30645161290322576,14.495161290322578,0.06553911205073996,0.021141649048625793
painpoint=overall_quality_positive,painpoint=sharpness_positive,0.0200845665961945,0.9047619047619047,13.373511904761903,0.022198731501057084,0.06765327695560254
has_aplus=1|painpoint=overall_quality_positive,painpoint=sharpness_positive,0.0200845665961945,0.9047619047619047,13.373511904761903,0.022198731501057084,0.06765327695560254
knife_type=chef|painpoint=overall_quality_positive,painpoint=sharpness_positive,0.0200845665961945,0.9047619047619047,13.373511904761903,0.022198731501057084,0.06765327695560254
knife_type=santoku|material=damascus,material=vg10,0.022198731501057084,0.4772727272727273,9.03,0.046511627906976744,0.052854122621564484
knife_type=chef|material=damascus,material=vg10,0.0507399577167019,0.38095238095238093,7.207619047619047,0.1331923890063425,0.052854122621564484
is_fba=1|material=damascus,material=vg10,0.04334038054968287,0.37614678899082565,7.116697247706421,0.11522198731501057,0.052854122621564484
material=damascus|rating>=4.5,material=vg10,0.042283298097251586,0.35398230088495575,6.697345132743362,0.11945031712473574,0.052854122621564484
knife_type=santoku|material=vg10,material=damascus,0.022198731501057084,1.0,6.661971830985915,0.022198731501057084,0.15010570824524314
material=vg10,material=damascus,0.0507399577167019,0.96,6.3954929577464785,0.052854122621564484,0.15010570824524314
has_aplus=1|material=vg10,material=damascus,0.0507399577167019,0.96,6.3954929577464785,0.052854122621564484,0.15010570824524314
knife_type=chef|material=vg10,material=damascus,0.0507399577167019,0.96,6.3954929577464785,0.052854122621564484,0.15010570824524314
material=damascus,material=vg10,0.0507399577167019,0.3380281690140845,6.3954929577464785,0.15010570824524314,0.052854122621564484
has_aplus=1|material=damascus,material=vg10,0.0507399577167019,0.3380281690140845,6.3954929577464785,0.15010570824524314,0.052854122621564484
knife_type=set|material=vg10,material=damascus,0.024312896405919663,0.9583333333333334,6.384389671361502,0.02536997885835095,0.15010570824524314
is_fba=1|material=vg10,material=damascus,0.04334038054968287,0.9534883720930232,6.352112676056337,0.045454545454545456,0.15010570824524314
material=vg10|rating>=4.5,material=damascus,0.042283298097251586,0.9523809523809523,6.344735077129442,0.04439746300211417,0.15010570824524314
knife_type=set|material=damascus,material=vg10,0.024312896405919663,0.3194444444444445,6.0438888888888895,0.07610993657505286,0.052854122621564484
knife_type=boning|material=carbon_steel,knife_type=cleaver,0.022198731501057084,0.7241379310344828,5.905469678953627,0.0306553911205074,0.1226215644820296
knife_type=cleaver|material=high_carbon,knife_type=nakiri,0.023255813953488372,0.3142857142857143,4.574065934065934,0.07399577167019028,0.06871035940803383
knife_type=nakiri|material=high_carbon,knife_type=cleaver,0.023255813953488372,0.55,4.485344827586207,0.042283298097251586,0.1226215644820296
knife_type=nakiri|rating>=4.5,knife_type=cleaver,0.02536997885835095,0.5217391304347826,4.25487256371814,0.048625792811839326,0.1226215644820296
knife_type=nakiri,knife_type=cleaver,0.03382663847780127,0.49230769230769234,4.014854111405835,0.06871035940803383,0.1226215644820296
has_aplus=1|knife_type=nakiri,knife_type=cleaver,0.03382663847780127,0.49230769230769234,4.014854111405835,0.06871035940803383,0.1226215644820296
knife_type=chef|knife_type=nakiri,knife_type=cleaver,0.03171247357293869,0.4918032786885246,4.010740531373657,0.06448202959830866,0.1226215644820296
is_fba=1|knife_type=nakiri,knife_type=cleaver,0.02854122621564482,0.4909090909090909,4.003448275862069,0.05813953488372093,0.1226215644820296
knife_type=cleaver|material=high_carbon,material=carbon_steel,0.045454545454545456,0.6142857142857142,3.6094055013309663,0.07399577167019028,0.17019027484143764
knife_type=cleaver|knife_type=set,knife_type=boning,0.02854122621564482,0.4426229508196722,3.5186664829866374,0.06448202959830866,0.12579281183932348
knife_type=cleaver|material=carbon_steel,knife_type=boning,0.022198731501057084,0.4285714285714286,3.406962785114046,0.05179704016913319,0.12579281183932348
knife_type=boning|knife_type=cleaver,material=carbon_steel,0.022198731501057084,0.5526315789473685,3.2471395881006866,0.040169133192389,0.17019027484143764
knife_type=boning|rating>=4.5,knife_type=cleaver,0.03488372093023256,0.3837209302325581,3.129310344827586,0.09090909090909091,0.1226215644820296
knife_type=cleaver|rating>=4.5,material=carbon_steel,0.049682875264270614,0.5222222222222223,3.0684610075914422,0.09513742071881606,0.17019027484143764
knife_type=boning|material=high_carbon,knife_type=cleaver,0.02536997885835095,0.3692307692307692,3.0111405835543765,0.06871035940803383,0.1226215644820296
knife_type=cleaver|rating>=4.5,knife_type=boning,0.03488372093023256,0.3666666666666667,2.91484593837535,0.09513742071881606,0.12579281183932348
material=carbon_steel|rating>=4.5,knife_type=cleaver,0.049682875264270614,0.3560606060606061,2.903735632183908,0.13953488372093023,0.1226215644820296
knife_type=boning|knife_type=chef,knife_type=cleaver,0.03805496828752643,0.3461538461538462,2.8229442970822283,0.10993657505285412,0.1226215644820296
knife_type=chef|knife_type=cleaver,knife_type=boning,0.03805496828752643,0.34951456310679613,2.778493921840581,0.10887949260042283,0.12579281183932348
material=carbon_steel|material=high_carbon,knife_type=cleaver,0.045454545454545456,0.33858267716535434,2.7612001086071136,0.13424947145877378,0.1226215644820296
knife_type=cleaver|material=high_carbon,knife_type=boning,0.02536997885835095,0.3428571428571428,2.725570228091236,0.07399577167019028,0.12579281183932348
knife_type=cleaver|knife_type=set,material=carbon_steel,0.02959830866807611,0.45901639344262296,2.6970776906628653,0.06448202959830866,0.17019027484143764
is_fba=1|knife_type=boning,knife_type=cleaver,0.03171247357293869,0.3225806451612903,2.6307007786429364,0.09830866807610994,0.1226215644820296
knife_type=chef|knife_type=cleaver,material=carbon_steel,0.048625792811839326,0.44660194174757284,2.6241331484049932,0.10887949260042283,0.17019027484143764
knife_type=cleaver,knife_type=boning,0.040169133192389,0.3275862068965517,2.604172703564184,0.1226215644820296,0.12579281183932348
has_aplus=1|knife_type=cleaver,knife_type=boning,0.040169133192389,0.3275862068965517,2.604172703564184,0.1226215644820296,0.12579281183932348
